procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 6580980 256232 4107044    0    0  2137  1824 7018    6  6  2 92  0  0  0
 1  0      0 6597972 256248 4107044    0    0     0    58 3477 5679  6  2 92  0  0  0
 1  0      0 6529004 256248 4107180    0    0    58     0 4336 6960  6  2 92  0  0  0
 1  0      0 6547856 256256 4107220    0    0     0     8 1590 2184  5  1 93  0  0  0
 1  0      0 6569740 256264 4107248    0    0    36    50 7257 11809  7  2 91  0  0  0
 1  0      0 6598244 256264 4107260    0    0     0     0 3859 6182  6  2 93  0  0  0
 1  0      0 6539404 256276 4107264    0    0     0    22 1578 2196  5  1 93  0  0  0
 1  0      0 6571124 256356 4110524    0    0     0   188 4673 7486  6  2 92  0  0  0
 1  0      0 6522904 256356 4110536    0    0     0     0 3908 6332  6  2 93  0  0  0
 3  0      0 6542428 256364 4110544    0    0     0    38 7186 11927  7  3 91  0  0  0
 1  0      0 6601980 256372 4110552    0    0     0    56 3513 5561  6  2 92  0  0  0
 1  0      0 6538896 256372 4110676    0    0     0     0 1593 2231  5  1 93  0  0  0
 1  0      0 6551448 256380 4110756    0    0     0    48 4388 7089  6  2 92  0  0  0
 1  0      0 6592180 256400 4111632    0    0   474    18 3889 6157  6  2 92  0  0  0
 1  0      0 6593352 256408 4111600    0    0     0    16 6114 10431  6  2 92  0  0  0
 1  0      0 6514884 256408 4111628    0    0     0  3650 4718 7632  6  2 92  0  0  0
 1  0      0 6529376 256416 4111632    0    0     0    28 3818 6119  6  2 92  0  0  0
 1  0      0 6552060 256424 4111640    0    0     0    22 2594 3796  6  2 93  0  0  0
 1  0      0 6594680 256432 4111644    0    0     0     8 3279 5234  6  2 93  0  0  0
 1  0      0 6526688 256432 4111708    0    0    48    30 7985 13586  6  2 91  0  0  0
 1  0      0 6548844 256440 4111696    0    0     0    16 3157 4604  6  2 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 6584576 256452 4111700    0    0     0    18 3256 5266  6  1 93  0  0  0
 2  0      0 6575528 256532 4114892    0    0     0   188 4161 6549  6  2 92  0  0  0
 1  0      0 6529732 256532 4114892    0    0     0     0 1829 2500  5  1 93  0  0  0
 1  0      0 6545236 256532 4114904    0    0     0    16 8213 14048  6  2 91  0  0  0
 1  0      0 6595172 256548 4114908    0    0     0    34 2872 4207  6  2 93  0  0  0
 1  0      0 6588840 256548 4114924    0    0     0     0 3264 5317  6  1 93  0  0  0
 1  0      0 6535424 256556 4115096    0    0     0    48 3637 5863  6  1 93  0  0  0
 1  0      0 6531376 256568 4115092    0    0     0    50 2502 3641  6  2 93  0  0  0
 8  0      0 6545568 256568 4115100    0    0     0     0 4671 7829  6  2 92  0  0  0
 1  0      0 6581536 256584 4115104    0    0     0  3676 8529 14114  7  2 91  0  0  0
 1  0      0 6593388 256584 4115120    0    0     0     0 1668 2418  5  1 93  0  0  0
 1  0      0 6518972 256584 4115132    0    0     0    16 3201 5104  6  2 93  0  0  0
 1  0      0 6542404 256600 4115140    0    0     0    40 4287 6839  6  2 92  0  0  0
 2  0      0 6594020 256600 4115112    0    0     0    32 1668 2265  5  1 93  0  0  0
 1  0      0 6590920 256608 4115120    0    0     0    16 8898 14906  7  3 90  0  0  0
 3  0      0 6594832 256620 4115096    0    0     0    22 3086 4920  6  2 93  0  0  0
 1  0      0 6515904 256700 4120332    0    0     0   186 2180 3208  5  2 93  0  0  0
 1  0      0 6533580 256708 4120348    0    0     0    16 4616 7336  6  2 92  0  0  0
 1  0      0 6549280 256708 4120384    0    0     0    16 1856 2640  5  2 93  0  0  0
 1  0      0 6576672 256724 4120392    0    0     0    34 7566 12797  7  2 91  0  0  0
 1  0      0 6512608 256724 4120404    0    0     0     0 4370 6849  6  2 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 6539944 256724 4120504    0    0     0    34 1859 2622  5  2 93  0  0  0
 1  0      0 6559880 256740 4120508    0    0     0    80 4246 6745  6  2 92  0  0  0
 1  0      0 6538056 256740 4120516    0    0     0     0 3425 5514  6  1 93  0  0  0
 1  0      0 6589240 256748 4120512    0    0     0  3660 5965 9930  6  2 92  0  0  0
 1  0      0 6523080 256756 4120516    0    0     0    16 5143 8187  6  2 92  0  0  0
 1  0      0 6536004 256756 4120524    0    0     0    16 3637 5854  5  2 93  0  0  0
 1  0      0 6519600 256772 4120524    0    0     0    30 2442 3478  5  2 93  0  0  0
 2  0      0 6579864 256772 4120528    0    0     0     0 3027 4848  5  1 93  0  0  0
 1  0      0 6494856 256780 4120528    0    0     0    50 9923 15429  6  2 91  0  0  0
 1  0      0 6513136 256788 4120552    0    0     0    16 5504 7283  6  2 92  0  0  0
 1  0      0 6522204 256860 4123032    0    0     0   180 3425 5503  6  2 93  0  0  0
 1  0      0 6574656 256868 4123004    0    0     0    16 2556 3690  6  2 93  0  0  0
 1  0      0 6509564 256868 4123296    0    0     0    18 3517 5704  6  2 92  0  0  0
 1  0      0 6560420 256876 4123312    0    0     0    12 11728 20740  8  2 90  0  0  0
 1  0      0 6501096 256884 4123352    0    0     0    22 2977 4365  6  2 92  0  0  0
 1  0      0 6500580 256884 4123464    0    0     0    34 3645 5967  6  2 92  0  0  0
 1  0      0 6518888 256892 4123472    0    0     0    12 3503 5699  6  2 93  0  0  0
 1  0      0 6572840 256900 4123464    0    0     0  3666 2508 3626  6  2 93  0  0  0
