procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 6516904 257020 4126060    0    0  1908  1654 6717    6  6  2 92  0  0  0
 4  0      0 6529092 257028 4126072    0    0     0    16 4050 6629  6  2 92  0  0  0
 1  0      0 6572344 257028 4126084    0    0     0     0 5364 8477  7  2 91  0  0  0
 1  0      0 6510708 257036 4126060    0    0     0    22 3871 6247  5  2 93  0  0  0
 1  0      0 6516524 257044 4126256    0    0     0    38 1609 2154  5  1 93  0  0  0
 1  0      0 6538348 257052 4126260    0    0     0  3666 4472 7277  6  2 92  0  0  0
 1  0      0 6578420 257064 4126248    0    0     2    20 3435 5472  6  2 93  0  0  0
 2  0      0 6498872 257064 4126240    0    0     0     0 6730 11271  6  2 92  0  0  0
 1  0      0 6571536 257072 4126248    0    0     0    32 4028 6307  6  2 92  0  0  0
 1  0      0 6513596 257080 4126252    0    0     0     6 3453 5555  5  2 93  0  0  0
 1  0      0 6520144 257080 4126260    0    0     0     0 2595 3695  6  2 93  0  0  0
 1  0      0 6533236 257096 4126256    0    0     0   108 3569 5870  5  2 93  0  0  0
 1  0      0 6575032 257096 4126268    0    0     0     0 8410 14372  7  2 91  0  0  0
 1  0      0 6509940 257176 4128684    0    0     0   184 3063 4358  6  2 92  0  0  0
 1  0      0 6527376 257176 4128696    0    0     0     0 3201 5117  6  2 93  0  0  0
 2  0      0 6564448 257184 4128692    0    0     0     8 4210 6816  6  2 92  0  0  0
 1  0      0 6576168 257192 4128696    0    0     0    38 1450 1982  5  1 93  0  0  0
 1  0      0 6574804 257192 4128704    0    0     0     0 7819 13466  6  2 91  0  0  0
 1  0      0 6512560 257208 4128712    0    0     0    28 3007 4415  6  2 92  0  0  0
 1  0      0 6527172 257208 4128716    0    0     0    32 3409 5444  5  2 93  0  0  0
 1  0      0 6558248 257208 4128976    0    0     0  3650 4209 6746  6  2 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 6578976 257224 4128936    0    0     0    26 1746 2404  5  1 93  0  0  0
 1  0      0 6496740 257224 4128944    0    0     0     0 7390 12682  6  2 92  0  0  0
 1  0      0 6508428 257240 4128944    0    0     0    44 5035 7929  6  2 92  0  0  0
 2  0      0 6551568 257240 4128980    0    0     0     0 1631 2308  5  1 93  0  0  0
 2  0      0 6557424 257532 4129944    0    0   438     0 3765 5559  9  2 89  0  0  0
 1  0      0 6569840 257548 4129980    0    0     6    58 5179 7928 10  2 88  0  0  0
 1  0      0 6521680 257548 4130004    0    0     0    34 6357 10122 10  3 88  0  0  0
 1  0      0 6562608 257620 4133524    0    0    62   182 5601 8473 10  2 88  0  0  0
 1  0      0 6558332 257628 4133524    0    0     0    18 3869 5732  9  2 89  0  0  0
 1  0      0 6564200 257636 4133528    0    0     0     8 1864 2234  9  1 90  0  0  0
 1  0      0 6565944 257644 4133532    0    0     0    38 4056 5993  9  2 89  0  0  0
 1  0      0 6567924 257644 4135256    0    0   486     0 6251 10112 10  2 88  0  0  0
 1  0      0 6502220 257652 4135232    0    0     0     6 5344 8269  9  2 89  0  0  0
 1  0      0 6477316 257672 4200228    0    0 14242   168 4358 6282  9  2 88  0  0  0
 1  0      0 6431400 257672 4200376    0    0     0  3650 1999 2458  9  2 90  0  0  0
 1  0      0 6384092 257684 4211364    0    0   172   174 6063 8881  9  3 88  0  0  0
 1  0      0 6281096 257692 4231684    0    0     4 31320 9952 12818  9  4 87  1  0  0
 1  0      0 6298968 257692 4191184    0    0     2    46 8315 13131  9  3 88  0  0  0
 1  0      0 6305580 257708 4191196    0    0     0   210 6857 10880  9  3 88  0  0  0
 1  0      0 6359544 257708 4192024    0    0     0  3404 10115 15300  9  5 84  2  0  0
 1  0      0 6263904 257716 4203772    0    0     0  5982 12442 19616  9  4 85  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 6251924 257724 4203824    0    0     0    58 3502 5336  9  1 90  0  0  0
 2  0      0 6262196 257796 4206096    0    0     0   220 7457 11717 10  3 87  0  0  0
 1  0      0 6240216 257804 4207316    0    0     0    92 4482 6717 10  2 88  0  0  0
 2  0      0 6232312 257804 4207328    0    0     0     0 4159 6282  9  2 89  0  0  0
 2  0      0 6322176 257812 4197460    0    0     0    62 3268 4439  9  3 89  0  0  0
 2  0      0 6243856 257820 4197472    0    0     0    28 3689 5633  9  2 89  0  0  0
 1  1      0 6306976 257828 4197876    0    0     0  1478 11581 18903 10  3 86  1  0  0
 1  1      0 6347112 257828 4199764    0    0     0  6828 14033 22115  8  5 83  3  0  0
 2  0      0 6295872 257836 4199788    0    0     0  3760 3390 5142  9  1 90  0  0  0
 8  0      0 6335368 257844 4215076    0    0    28   626 8185 10939  9  3 87  0  0  0
 2  0      0 6282540 257852 4210628    0    0     0  5034 5038 5884  9  2 88  0  0  0
 2  0      0 6292176 257860 4200736    0    0     0    22 8273 13854 10  2 88  0  0  0
 2  0      0 6343348 257860 4200724    0    0     0    18 5019 7705  9  2 89  0  0  0
 2  0      0 6393228 257868 4200724    0    0     0    76 2398 3000  8  2 89  0  0  0
 2  0      0 6388000 257876 4200692    0    0     0     6 3829 5895  9  2 89  0  0  0
 5  0      0 6390628 257876 4200704    0    0     0    12 2773 3654  9  2 89  0  0  0
 2  0      0 6390272 257948 4203764    0    0     0   224 8094 13338 10  2 88  0  0  0
 2  0      0 6287572 257948 4214000    0    0     0     8 5684 8559 11  2 87  0  0  0
