procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 6346388 260124 4256556    0    0  1375  1424 6135    5  6  2 92  0  0  0
 1  0      0 6387096 260132 4256548    0    0     0    16 1544 2036  5  1 93  0  0  0
 1  0      0 6354732 260132 4256548    0    0     0     0 4246 6651  6  2 92  0  0  0
 1  0      0 6325876 260140 4256540    0    0     0    18 6529 10673  6  2 91  0  0  0
 1  0      0 6361912 260148 4256524    0    0     0     8 2041 3009  5  2 93  0  0  0
 1  0      0 6379112 260156 4256516    0    0     0    18 4555 7383  6  2 92  0  0  0
 5  0      0 6315344 260236 4259900    0    0     0   230 3346 5299  5  2 93  0  0  0
 1  0      0 6333448 260236 4260084    0    0     0     4 1583 2213  5  1 93  0  0  0
 3  0      0 6337456 260244 4260096    0    0   166    26 5138 8303  6  2 92  0  0  0
 1  0      0 6379724 260252 4260228    0    0     0    58 4874 8008  6  2 92  0  0  0
 1  0      0 6332952 260252 4260236    0    0     0     0 4206 6664  6  2 92  0  0  0
 1  0      0 6318932 260268 4260244    0    0     0    26 3183 5149  6  2 93  0  0  0
 1  0      0 6321704 260268 4260252    0    0     0     0 1633 2241  6  1 93  0  0  0
 1  0      0 6372732 260276 4260252    0    0     0  3668 4393 7182  6  2 92  0  0  0
 1  0      0 6315072 260284 4260368    0    0   116    56 8174 13724  7  3 91  0  0  0
 1  0      0 6312640 260284 4260404    0    0     0     2 2694 3866  6  2 93  0  0  0
 1  0      0 6307112 260304 4260404    0    0     0    42 3342 5459  6  2 93  0  0  0
 1  0      0 6379052 260304 4260420    0    0     0     0 3872 6288  6  2 93  0  0  0
 1  0      0 6314048 260304 4260460    0    0     0     0 2640 3807  6  2 93  0  0  0
 1  0      0 6351764 260320 4260480    0    0     0    26 6845 11510  6  2 91  0  0  0
 2  0      0 6367180 260320 4260492    0    0     0     0 7527 10157  6  2 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 6345880 260392 4263992    0    0     0   224 2231 3023  6  2 93  0  0  0
 3  0      0 6309864 260392 4263996    0    0     0     0 2963 4727  5  2 93  0  0  0
 1  0      0 6366588 260392 4264168    0    0     0     6 2586 3711  6  2 92  0  0  0
 1  0      0 6374128 260408 4264164    0    0     0    34 7015 11756  7  2 91  0  0  0
 1  0      0 6292576 260408 4264180    0    0     0     0 4297 6681  6  2 91  0  0  0
 1  0      0 6328676 260424 4264180    0    0     0   124 2550 3772  5  2 93  0  0  0
 1  0      0 6368544 260424 4264184    0    0     0     0 3266 5172  5  2 93  0  0  0
 1  0      0 6297868 260424 4264188    0    0     0  3654 4523 7279  6  2 92  0  0  0
 1  0      0 6313236 260440 4264180    0    0     0    94 5687 9387  6  2 92  0  0  0
