procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 438748 10419932  24944 649524   85 2017  1257  2770 4964    4  6  2 92  0  0  0
 1  0 438744 10432288  24956 649664    4    0     4    42 4561 7399  6  2 92  0  0  0
 1  0 438744 10373848  24956 649672    0    0     0     0 1561 2093  5  2 93  0  0  0
 1  0 438736 10425660  24972 649680    2    0     2    68 6857 11358  6  2 92  0  0  0
 5  0 438736 10371592  24976 649812    2    0    68     0 4244 6704  6  2 92  0  0  0
 1  0 438724 10434888  25060 653556    4    0     6   266 2842 4198  5  2 93  0  0  0
 2  0 438724 10353376  25060 653564    0    0     0    64 3682 5816  6  2 92  0  0  0
 1  0 438724 10387980  25060 653560    0    0     0     0 1792 2555  5  2 93  0  0  0
 1  0 438724 10430608  25076 653576    0    0     0    36 3486 5611  5  2 93  0  0  0
 1  0 438672 10381852  25076 653724   38    0    38     0 8548 14335  7  3 91  0  0  0
 1  0 438672 10435408  25076 653732    0    0     0    32 1915 2687  5  2 93  0  0  0
 1  0 438672 10357940  25092 653724    0    0     0  3736 3452 5621  6  2 93  0  0  0
 1  0 438668 10381664  25092 653740    6    0     6     0 4690 7619  6  2 92  0  0  0
 1  0 438668 10411544  25100 653732    0    0     0    18 1632 2251  5  1 93  0  0  0
 1  0 438668 10364692  25108 653740    0    0     0     8 7660 12771  7  3 91  0  0  0
 1  0 438668 10431624  25108 653748    2    0     2     0 4079 6573  6  2 92  0  0  0
 1  0 438668 10389300  25124 653736    0    0     0    32 1911 2774  5  2 93  0  0  0
 1  0 438668 10354528  25140 653724    0    0    78    62 4282 6750  6  2 92  0  0  0
 1  0 438668 10383640  25140 653732    2    0     2    34 3528 5706  5  2 93  0  0  0
 2  0 438668 10430740  25156 653736    0    0    22    42 6924 11280  6  3 91  0  0  0
 1  0 438668 10376496  25228 658172    6    0     6   178 3451 5489  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 438656 10423528  25236 658164   20    0    32    46 5462 8685  8  2 89  0  0  0
 1  0 438652 10379028  25236 658172    2    0     2    34 4323 6941  6  2 92  0  0  0
 2  0 438652 10425076  25252 658172    0    0     0    70 3536 5595  6  2 93  0  0  0
 2  0 438652 10379312  25260 658584    8    0     8    50 6829 10850  8  3 89  0  0  0
 1  1 438628 10416508  25700 659868   16    0   958    68 5306 8291  7  3 91  0  0  0
 2  0 438628 10298252  26536 668876    0    0  4984  3724 5368 7539 11  3 86  1  0  0
16  1 438624 10275524  27272 742080    2    0 37038    82 4240 9938  7  3 89  1  0  0
 2  0 438616 10069372  29760 787232    4    0 23692    16 5711 21161 10  5 83  2  0  0
 1  0 438616 10122748  29772 787768    2    0   146     0 7495 12530  7  3 90  0  0  0
 1  0 438616 10067276  29780 787780    0    0     0    30 2964 4346  6  2 92  0  0  0
 1  0 438608 10118048  29804 787800    6    0     6    72 3829 6240  6  2 92  0  0  0
 2  0 438608 10104444  29804 787808    2    0     2     0 3804 5971  6  2 92  0  0  0
 1  0 438608 10124108  29804 787812    0    0     0    24 1886 2754  5  1 93  0  0  0
 1  0 438608 10067444  29820 787828    0    0     0    72 6850 11389  6  3 91  0  0  0
 2  0 438608 10136976  29884 791120    0    0     0   178 2900 4161  6  2 92  0  0  0
 1  0 438596 10079596  29892 791284    8    0    84  3700 3545 5744  5  2 93  0  0  0
 3  0 438592 9817052  29908 793408    4    0  1152    66 4852 7643  6  3 91  0  0  0
 2  0 438592 8432020  29916 793412    0    0     0    12 2276 2531  9  4 87  0  0  0
 2  0 438592 7069644  29916 793736    0    0     0     0 4418 6504  9  4 86  0  0  0
 1  0 438592 5787404  29932 793724    0    0   140    38 9419 15110 10  5 85  0  0  0
 1  0 438592 5816284  29932 793728    2    0     2    20 1555 2217  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 438584 5860368  29932 793732    4    0     4    34 3545 5841  5  2 93  0  0  0
 1  0 438584 5798936  29948 793716    2    0     2    30 4659 7437  6  3 91  0  0  0
 1  0 438484 5818508  29948 793744   54    0    54    42 1905 2688  5  2 93  0  0  0
 1  0 438392 5855988  29956 793736   56    0    56    24 8347 13956  6  3 91  0  0  0
 3  0 438392 5869900  29964 793732    0    0     0     8 1572 2133  5  2 93  0  0  0
 1  0 438392 5865740  29964 793732    0    0     0     0 3230 5185  5  2 93  0  0  0
 1  0 438392 5863796  29972 793724    0    0     0    18 4541 7338  6  2 92  0  0  0
 1  1 434700 5818848  29980 793844 1948    0  2012    42 4278 4909  5  2 93  0  0  0
