procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 389852 5063880  55276 1452508   57 1047   629  1501 4323    4  6  2 92  0  0  0
 1  0 389852 5103628  55284 1452504   16    0    16    26 4929 8123  6  2 92  0  0  0
 3  0 389852 5049048  55292 1452504    0    0     0    18 2051 2871  5  2 93  0  0  0
 1  0 389852 5080640  55292 1452504    0    0     0     0  983 1119  5  1 93  0  0  0
 1  0 389852 5131672  55300 1452504    0    0     0    18  713  760  5  2 94  0  0  0
 1  0 389852 5063136  55300 1452508    0    0     0     0 1615 2169  5  2 93  0  0  0
 2  0 389852 5127120  55308 1452512    0    0     0    10 3933 6410  6  2 92  0  0  0
 1  0 389852 5135004  55316 1452512    0    0     0    18 1656 2346  5  2 93  0  0  0
 1  0 389852 5070564  55316 1452520    0    0     0    16 1569 2104  5  2 93  0  0  0
 1  0 389852 5131360  55388 1451680    0    0     0   182 1212 1460  5  2 93  0  0  0
 1  0 389852 5140668  55396 1451680    0    0     0    24 1661 2255  5  2 93  0  0  0
 1  0 389852 5081512  55404 1451676    0    0     0    12 4338 7101  6  2 92  0  0  0
 1  0 389852 5148728  55412 1451672    0    0     0    18 1892 2659  5  2 93  0  0  0
 1  0 389852 5091920  55412 1451780    0    0     0     0 1607 2136  5  2 93  0  0  0
 1  0 389852 5077964  55424 1451784    0    0     0    40  803  967  5  1 94  0  0  0
 1  0 389852 5068792  55432 1451792    0    0     0  3752 1842 2353  5  2 93  0  0  0
 4  0 389852 5090504  55432 1451796    0    0     0     0 1764 2635  5  1 93  0  0  0
 1  0 389852 5136304  55432 1451796    0    0     0     0 3384 5332  5  2 93  0  0  0
 1  0 389852 5065000  55448 1451828    0    0    14    44 2298 3269  5  2 92  0  0  0
 1  0 389852 5072196  55448 1451828    0    0     0     4  695  740  5  1 94  0  0  0
 1  0 389852 5129780  55456 1451828    0    0     0    18  610  629  5  1 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 389852 5140148  55464 1451824    0    0     0    24 1758 2357  6  2 93  0  0  0
 1  0 389852 5120252  55464 1451888    0    0    32     2 4687 7786  6  2 92  0  0  0
 1  0 389852 5066044  55472 1451896    0    0     0    34 2308 3181  5  2 93  0  0  0
 1  0 389852 5081884  55544 1451900    0    0     0   182 1085 1343  5  2 93  0  0  0
 1  0 389852 5130208  55544 1451900    0    0     0  3704  876 1073  5  1 94  0  0  0
 1  0 389852 5135616  55560 1451904    0    0     0    36 1561 2005  5  2 93  0  0  0
 1  0 389852 5105164  55560 1451908    0    0     0     0 4186 6751  6  2 92  0  0  0
 1  0 389852 5058912  55568 1451900    0    0     0    18 2663 3776  6  2 93  0  0  0
 1  0 389852 5129904  55576 1451924    0    0     0     6  652  689  5  1 94  0  0  0
 1  0 389852 5065468  55576 1451924    0    0     0     2  712  793  5  1 94  0  0  0
 1  0 389852 5086528  55584 1451928    0    0     0    42 1497 1892  5  2 93  0  0  0
 1  0 389852 5137888  55592 1451924    0    0     0     6 3892 6375  6  2 92  0  0  0
 1  0 389852 5068912  55592 1451924    0    0     0     6 1751 2452  5  2 93  0  0  0
 1  0 389852 5129488  55600 1451912    0    0     0    18 1687 2326  5  2 93  0  0  0
 1  0 389852 5078516  55608 1451904    0    0     0     6  682  749  5  1 94  0  0  0
 1  0 389852 5080844  55616 1451888    0    0     0    18 1754 2413  5  2 93  0  0  0
 1  0 389852 5107912  55616 1451888    0    0     0     0  806  961  5  1 94  0  0  0
 1  0 389852 5133728  55624 1451884    0    0     0    26 4864 8013  6  2 92  0  0  0
 1  0 389852 5070488  55696 1452864    0    0     0   198 2443 3468  5  2 93  0  0  0
 1  0 389852 5122980  55696 1452868    0    0     0     0  884 1094  5  1 94  0  0  0
 1  0 389852 5080304  55712 1452852    0    0     0    28 1690 2232  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 389852 5068008  55712 1452856    0    0     0  3688  621  599  5  2 94  0  0  0
 1  0 389852 5130360  55712 1452860    0    0     0     0 4807 7848  6  2 92  0  0  0
